Non-optimal chan   11 proposed C2       at cool       1 iteration      28
Non-optimal chan    1 proposed C3       at cool       1 iteration      28
Non-optimal chan   12 proposed C2       at cool       1 iteration      29
Non-optimal chan    1 proposed C3       at cool       1 iteration      29
Non-optimal chan    9 proposed C2       at cool       1 iteration      30
Non-optimal chan    5 proposed C2       at cool       1 iteration      30
Non-optimal chan   13 proposed C3       at cool       1 iteration      30
Non-optimal chan    1 proposed C3       at cool       1 iteration      30
Non-optimal chan   12 proposed C1       at cool       1 iteration      31
Non-optimal chan   11 proposed C2       at cool       1 iteration      31
Non-optimal chan   11 proposed C3       at cool       1 iteration      31
Non-optimal chan    6 proposed C3       at cool       1 iteration      31
Non-optimal chan   11 proposed C1       at cool       1 iteration      32
Non-optimal chan   10 proposed C2       at cool       1 iteration      32
Non-optimal chan   11 proposed C3       at cool       1 iteration      32
Non-optimal chan    7 proposed C1       at cool       1 iteration      33
Non-optimal chan    2 proposed C2       at cool       1 iteration      33
Non-optimal chan    2 proposed C3       at cool       1 iteration      33
Non-optimal chan   11 proposed C3       at cool       1 iteration      33
Non-optimal chan    2 proposed C2       at cool       1 iteration      34
Non-optimal chan    4 proposed C3       at cool       1 iteration      34
Non-optimal chan    4 proposed C3       at cool       1 iteration      34
Non-optimal chan    6 proposed C2       at cool       1 iteration      35
Non-optimal chan    3 proposed C3       at cool       1 iteration      35
Non-optimal chan    6 proposed C1       at cool       1 iteration      36
Non-optimal chan    5 proposed C2       at cool       1 iteration      36
Non-optimal chan    3 proposed C2       at cool       1 iteration      36
Non-optimal chan    4 proposed C3       at cool       1 iteration      36
Non-optimal chan    5 proposed C3       at cool       1 iteration      36
Non-optimal chan   11 proposed C2       at cool       1 iteration      37
Non-optimal chan   10 proposed C3       at cool       1 iteration      37
Non-optimal chan   11 proposed C3       at cool       1 iteration      37
Non-optimal chan    1 proposed C2       at cool       1 iteration      38
Non-optimal chan   10 proposed C2       at cool       1 iteration      38
Non-optimal chan    3 proposed C3       at cool       1 iteration      38
Non-optimal chan    2 proposed C3       at cool       1 iteration      38
Non-optimal chan    2 proposed C2       at cool       1 iteration      39
Non-optimal chan    7 proposed C2       at cool       1 iteration      39
Non-optimal chan    2 proposed C3       at cool       1 iteration      39
Non-optimal chan   12 proposed C3       at cool       1 iteration      39
Non-optimal chan   10 proposed C1       at cool       1 iteration      40
Non-optimal chan    3 proposed C1       at cool       1 iteration      40
Non-optimal chan    5 proposed C2       at cool       1 iteration      40
Non-optimal chan    3 proposed C3       at cool       1 iteration      40
Non-optimal chan    1 proposed C3       at cool       1 iteration      40
Non-optimal chan    5 proposed C1       at cool       1 iteration      41
Non-optimal chan    3 proposed C2       at cool       1 iteration      41
Non-optimal chan   11 proposed C2       at cool       1 iteration      41
Non-optimal chan    5 proposed C3       at cool       1 iteration      41
Non-optimal chan   10 proposed C3       at cool       1 iteration      41
Non-optimal chan    5 proposed C1       at cool       1 iteration      42
Non-optimal chan   11 proposed C1       at cool       1 iteration      42
Non-optimal chan    9 proposed C2       at cool       1 iteration      42
Non-optimal chan    3 proposed C3       at cool       1 iteration      42
Non-optimal chan    6 proposed C3       at cool       1 iteration      42
Non-optimal chan    5 proposed C1       at cool       1 iteration      43
Non-optimal chan   12 proposed C2       at cool       1 iteration      43
Non-optimal chan   10 proposed C2       at cool       1 iteration      43
Non-optimal chan   10 proposed C3       at cool       1 iteration      43
Non-optimal chan    1 proposed C1       at cool       1 iteration      44
Non-optimal chan    1 proposed C2       at cool       1 iteration      44
Non-optimal chan    3 proposed C2       at cool       1 iteration      44
Non-optimal chan   10 proposed C3       at cool       1 iteration      44
Non-optimal chan    9 proposed C1       at cool       1 iteration      45
Non-optimal chan   11 proposed C2       at cool       1 iteration      45
Non-optimal chan    9 proposed C3       at cool       1 iteration      45
Non-optimal chan    8 proposed C3       at cool       1 iteration      45
Non-optimal chan    5 proposed C1       at cool       1 iteration      46
Non-optimal chan    5 proposed C3       at cool       1 iteration      46
Non-optimal chan    3 proposed C1       at cool       1 iteration      47
Non-optimal chan   11 proposed C1       at cool       1 iteration      47
Non-optimal chan    9 proposed C2       at cool       1 iteration      47
Non-optimal chan    9 proposed C2       at cool       1 iteration      47
Non-optimal chan    3 proposed C3       at cool       1 iteration      47
Non-optimal chan    7 proposed C1       at cool       1 iteration      48
Non-optimal chan    3 proposed C2       at cool       1 iteration      48
Non-optimal chan    5 proposed C3       at cool       1 iteration      48
Non-optimal chan    6 proposed C3       at cool       1 iteration      48
Non-optimal chan    7 proposed C1       at cool       1 iteration      49
Non-optimal chan    1 proposed C3       at cool       1 iteration      49
Non-optimal chan    2 proposed C3       at cool       1 iteration      49
Non-optimal chan    5 proposed C2       at cool       1 iteration      50
Non-optimal chan    3 proposed C3       at cool       1 iteration      50
Non-optimal chan    9 proposed C3       at cool       1 iteration      50
Non-optimal chan    3 proposed C2       at cool       1 iteration      51
Non-optimal chan    1 proposed C3       at cool       1 iteration      51
Non-optimal chan    2 proposed C3       at cool       1 iteration      51
Non-optimal chan    6 proposed C2       at cool       1 iteration      52
Non-optimal chan    6 proposed C3       at cool       1 iteration      52
Non-optimal chan   13 proposed C1       at cool       1 iteration      53
Non-optimal chan    2 proposed C2       at cool       1 iteration      53
Non-optimal chan    9 proposed C2       at cool       1 iteration      53
Non-optimal chan    1 proposed C2       at cool       1 iteration      53
Non-optimal chan    3 proposed C3       at cool       1 iteration      53
Non-optimal chan    1 proposed C2       at cool       1 iteration      54
Non-optimal chan   13 proposed C2       at cool       1 iteration      54
Non-optimal chan    9 proposed C3       at cool       1 iteration      54
Non-optimal chan   10 proposed C1       at cool       1 iteration      55
Non-optimal chan    4 proposed C2       at cool       1 iteration      55
Non-optimal chan    2 proposed C3       at cool       1 iteration      55
Non-optimal chan    5 proposed C3       at cool       1 iteration      55
Non-optimal chan    9 proposed C2       at cool       1 iteration      56
Non-optimal chan    1 proposed C2       at cool       1 iteration      56
Non-optimal chan    4 proposed C1       at cool       1 iteration      57
Non-optimal chan    9 proposed C2       at cool       1 iteration      57
Non-optimal chan    5 proposed C3       at cool       1 iteration      57
Non-optimal chan    2 proposed C1       at cool       1 iteration      58
Non-optimal chan    9 proposed C2       at cool       1 iteration      58
Non-optimal chan    3 proposed C3       at cool       1 iteration      58
Non-optimal chan    9 proposed C1       at cool       1 iteration      59
Non-optimal chan   11 proposed C2       at cool       1 iteration      59
Non-optimal chan    1 proposed C2       at cool       1 iteration      59
Non-optimal chan    7 proposed C1       at cool       1 iteration      60
Non-optimal chan    1 proposed C2       at cool       1 iteration      60
Non-optimal chan    9 proposed C3       at cool       1 iteration      60
Non-optimal chan    5 proposed C1       at cool       1 iteration      61
Non-optimal chan   10 proposed C2       at cool       1 iteration      61
Non-optimal chan    3 proposed C3       at cool       1 iteration      61
Non-optimal chan    3 proposed C3       at cool       1 iteration      61
Non-optimal chan    9 proposed C2       at cool       1 iteration      62
Non-optimal chan    8 proposed C3       at cool       1 iteration      62
Non-optimal chan    1 proposed C3       at cool       1 iteration      62
Non-optimal chan    1 proposed C1       at cool       1 iteration      63
Non-optimal chan    4 proposed C2       at cool       1 iteration      63
Non-optimal chan    1 proposed C3       at cool       1 iteration      63
Non-optimal chan    2 proposed C1       at cool       1 iteration      64
Non-optimal chan    8 proposed C1       at cool       1 iteration      64
Non-optimal chan    7 proposed C3       at cool       1 iteration      64
Non-optimal chan    1 proposed C3       at cool       1 iteration      64
Non-optimal chan    9 proposed C3       at cool       1 iteration      64
Non-optimal chan    5 proposed C1       at cool       1 iteration      65
Non-optimal chan    1 proposed C2       at cool       1 iteration      65
Non-optimal chan    7 proposed C3       at cool       1 iteration      65
Non-optimal chan    8 proposed C1       at cool       1 iteration      66
Non-optimal chan    7 proposed C3       at cool       1 iteration      66
Non-optimal chan    8 proposed C3       at cool       1 iteration      66
Non-optimal chan    1 proposed C1       at cool       1 iteration      67
Non-optimal chan    7 proposed C2       at cool       1 iteration      67
Non-optimal chan    1 proposed C3       at cool       1 iteration      67
Non-optimal chan   11 proposed C3       at cool       1 iteration      67
